SppCode,Genus,Species Name,Common Name
PIKA,Pipturus,kauaiensis,Kauai pipturus
ZAKA,Zanthoxylum,kauaense,Kauai pricklyash
PTKA,Pteralyxia,kauaiensis,Kauai pteralyxia
REKA,Remya,kauaiensis,Kauai remya
CHHA2,Chamaesyce,halemanui,Kauai sandmat
SCAP,Schiedea,apokremnos,Kauai schiedea
EUHA2,Euphorbia,haeleeleana,Kauai spurge
KOKA,Kokia,kauaiensis,Kauai treecotton
PSGR3,Psychotria,greenwelliae,Kauai wild coffee
LYKA,Lysimachia,kalalauensis,Kauai yellow loosestrife
OCKA,Ochrosia,kauaiensis,Kauai yellowwood
COOP,Colubrina,oppositifolia,Kauila
AGAU,Agathis,australis,Kauri
PIME,Piper,methysticum,Kava
LIPL,Libocedrus,plumosa,Kawaka
ZADI,Zanthoxylum,dipetalum,Kawa'u
DICA12,Diplacus,calycinus,Kaweah river monkeyflower
NEPO,Nesoluma,polynesicum,Keahi
CYRE8,Cyanea,recta,Kealia cyanea
RHKE,Rhus,kearneyi,Kearney's sumac
CRKE2,Crataegus,kelloggii,Kellogg's hawthorn
HOFO,Howea,forsteriana,Kentia palm
GYDI,Gymnocladus,dioicus,Kentucky coffeetree
CAAF2,Cassia,afrofistula,Kenyan shower
MEKE,Metrosideros,kermadecensis,Kermadec pohutakawa
VIOR,Virgilia,oroboides,Keurboom
THMI,Thrinax,morrisii,Key thatch palm
PIRO5,Pilosocereus,robinii,Key tree cactus
CRTA2,Crataegus,tanuphylla,Keystone hawthorn
PIKH,Pinus,kesiya,Khasia pine; th?ng ba l?
CAKI,Calyptranthes,kiaerskovii,Kiaerskov's lidflower
PRPA2,Prosopis,pallida,Kiawe
KICO,Kielmeyera,coriacea,Kielmeyera coriacea
HIGI,Hibiscadelphus,giffardianus,Kilauea hau kuahiwi
CYGI5,Cyanea,giffardii,Kilauea mauna cyanea
PRBE,Pritchardia,beccariana,Kilauea pritchardia
EMPA,Embelia,pacifica,Kilioe
STSA,Stenocarpus,salignus,Killarney Beefwood
ATSE,Athrotaxis,selaginoides,King Billy Pine
ARCU,Archontophoenix,cunninghamiana,King palm
ARRE7,Arctostaphylos,regismontana,Kings mountain manzanita
EURU5,Eucalyptus,rugosa,Kingscote Mallee
EUKI1,Eucalyptus,kingsmillii,Kingsmill's Mallee
ARUV,Arctostaphylos,uvaÅ]ursi,Kinnikinnick
HECO14,Hedyotis,coriacea,Kio'ele
MEZA,Melicope,zahlbruckneri,Kipuka piaula
INKI,Indigofera,kirilowii,Kirilow's indigo
PRSU2,Prunus,subcordata,Klamath plum
ARHU1,Araucaria,hunsteinii,Klinki pine
CRKN,Crataegus,knieskerniana,Knieskern's hawthorn
ACCU,Acacia,cultriformis,KnifeÅ]leaf Wattle
ACNI3,Acacia,nigrescens,Knob thorn
PIAT,Pinus,attenuata,Knobcone pine
COAM2,Cornus,amomum,KnobÅ]styled dogwood
EHAN,Ehretia,anacua,Knockaway
OSKN,Ostrya,knowltonii,Knowlton hophornbeam
ACKO,Acacia,koa,Koa
ACKO2,Acacia,koaia,Koaoha
MAKO,Magnolia,kobus,Kobushi Magnolia
EHAC,Ehretia,acuminata,Koda Tree
AGLA,Agathis,lanceolata,Koghis kauri
WIPU,Wikstroemia,pulcherrima,Kohala false ohelo
CYKO,Cyrtandra,kohalae,Kohala mountain cyrtandra
CLDR2,Clermontia,drepanomorpha,Kohala mtn clermontia
MEPS,Melicope,pseudoanisata,Kohala summit melicope
COKA,Coprosma,kauensis,Koi
MYSA2,Myrsine,sandwicensis,Kokea lau li'i
MYKN,Myrsine,knudsenii,Kokee colicwood
MENE4,Melicope,nealiae,Kokee plateau melicope
HEKN,Hedyotis,knudsenii,Kokee starviolet
MEDE6,Melicope,degeneri,Kokee stream melicope
CHAT2,Chamaesyce,atrococca,Koko
CHKU,Chamaesyce,kuwaleana,Kokomalei
MYLE2,Myrsine,lessertiana,Kolea lau nui
CYKO3,Cyanea,kolekoleensis,Kolekole cyanea
CLCA6,Clermontia,carinifera,Koloa clermontia
PIHO,Pittosporum,hosmeri,Kona cheesewood
QUSE,Quercus,glandulifera,Konara oak
PIGL4,Pittosporum,glabrum,Koolau range cheesewood
MYFO,Myrsine,fosbergii,Koolau range colicwood
CYKA5,Cyrtandra,kalihii,Koolau range cyrtandra
DESU,Delissea,subcordata,Koolau range delissea
LACY,Labordia,cyrtandrae,Koolau range labordia
MELY,Melicope,lydgatei,Koolau range melicope
CHOV2,Charpentiera,ovata,Koolau range papala
PRMA5,Pritchardia,martii,Koolau range pritchardia
CHRO2,Chamaesyce,rockii,Koolau range sandmat
PSFA,Psychotria,fauriei,Koolau range wild coffee
ABME2,Abutilon,menziesii,"Ko'oloa 'ula"
PSKA,Psychotria,kaduana,Kopiko kea
PSHA3,Psychotria,hawaiiensis,Kopiko 'ula
THKO,Thuja,koraiensis,Korean arborvitae
FRRH,Fraxinus,rhynchophylla,Korean ash
PODA,Populus,davidiana,Korean aspen
PRTA,Prunus,takesimensis,Korean cherry
TEDA,Tetradium,daniellii,Korean Evodia
ABKO,Abies,koreana,"Korean Fir"
AMAS,Amelanchier,asiatica,Korean Juneberry
ACPS1,Acer,pseudosieboldianum,Korean maple
SOAL,Sorbus,alnifolia,Korean mountain ash
PIKO,Pinus,koraiensis,Korean pine
RUCR,Rubus,crataegifolius,Korean raspberry
RHMU1,Rhododendron,mucronulatum,Korean rhododendron
PIKO1,Picea,koraiensis,Korean spruce
PYFA,Pyrus,fauriei,Korean sun pear
COSU2,Cordia,subcordata,Kou
COKO,Cornus,kousa,Kousa dogwood
SOMI,Sophora,microphylla,Kowhai
TEEL,Tetrazygia,elaeagnoides,Krekre
REKR,Reynosia,krugii,Krug's darlingplum
LEKR,Leandra,krugiana,Krug's roughleaf
NEKR,Nectandra,krugii,Krug's sweetwood
PULO,Pueraria,lobata,Kudzu
LOHY,Lobelia,hypoleuca,Kuhi'aikamo'owahie
MECL,Melicope,clusiifolia,Kukaemoa
CYKU,Cyanea,kunthiana,Kunth's cyanea
BRPO,Brachychiton,populneum,Kurrajong
PRSE2,Prunus,serrulata,Kwanzan cherry
EUPA26,Eucalyptus,parvula,Kybean gum
EUKY,Eucalyptus,kybeanensis,Kybean Mallee Ash
ARCR6,Arctostaphylos,cruzensis,La cruz manzanita
ARPI,Arctostaphylos,pilosula,La panza manzanita
ARPU10,Arctostaphylos,purissima,La purissima manzanita
LEGR,Ledum,groenlandicum,Labrador tea
LE3,Ledum,,Labrador tea spp
SAAR7,Salix,argyrocarpa,Labrador willow
LAAL,Laburnum,alpinum,Laburnum
BRDI,Brachychiton,discolor,Lacebark
PIBU,Pinus,bungeana,Lacebark pine
QULA,Quercus,laceyi,Lacey oak
LAPU,Lacistema,pubescens,Lacistema pubescens
CEHE3,Cereus,hexagonus,Lady of the night cactus
LASP1,Lafoensia,speciosa,Lafoensia speciosa
FINE,Ficus,lutea,Lagos rubbertree
CRIN18,Crataegus,integra,Lake ella hawthorn
DISA10,Diospyros,sandwicensis,Lama
TRLA2,Trema,lamarckianum,Lamarck's trema
MEMU5,Melicope,munroi,Lanahale
MYLA3,Myrsine,lanaiensis,Lanai colicwood
PLFE,Pleomele,fernaldii,Lanai hala pepe
HEAR9,Hesperomannia,arborescens,Lanai islandÅ]aster
PRLA3,Pritchardia,lanaiensis,Lanai pritchardia
CYMU5,Cyrtandra,munroi,Lanaihale cyrtandra
RHLA4,Rhamnus,lanceolata,Lanceleaf buckthorn
CYLA12,Cyanea,lanceolata,Lanceleaf cyanea
NECO,Nectandra,coriacea,Lancewood
PRSC,Pritchardia,schattaueri,Lands of papa pritchardia
LACA2,Lantana,camara,Lantana
CHPL,Cheirodendron,platyphyllum,Lapalapa
RHLA2,Rhododendron,lapponicum,Lapland rosebay
ACCO10,Actinostemon,concolor,laranjeiraÅ]doÅ]mato
ILCO,Ilex,coriacea,Large gallberry
COGL1,Cotoneaster,glaucophyllus,Large Leaf Cotoneaster
SOTE,Sophora,tetraptera,Large Leaved Kowhai
CYMA6,Cyrtandra,macrocalyx,Largecalyx cyrtandra
CYGR5,Cyrtandra,grandiflora,Largeflower cyrtandra
DIGR5,Diplacus,grandiflorus,Largeflower monkeyflower
COGR8,Conradina,grandiflora,Largeflower rosemary
PSGR,Psychotria,grandiflora,Largeflower wild coffee
SACI2,Sabicea,cinerea,Largeflower woodvine
EUCA6,Eucalyptus,canaliculata,LargeÅ]fruit grey gum
EUPE1,Eucalyptus,pellita,LargeÅ]fruit red mahogany
ACFA2,Acacia,falciformis,LargeÅ]leaf Hickory Wattle
HIMA5,Hibiscus,macrophyllus,Largeleaf rosemallow
EULA4,Euonymus,latifolia,LargeÅ]leaved Spindle
COHE,Corymbia,henryi,LargeÅ]leaved Spotted Gum
LAKA2,Larix,kaempferi,Larix kaempferi
COCA18,Colubrina,californica,Las animas nakedwood
CAES,Calyptranthes,estremenae,Las cuevas mountainbay
QUTA,Quercus,tardifolia,Lateleaf oak
EUCO5,Eugenia,cordata,Lathberry
ACLA,Acacia,latzii,Latz's Wattle
CYTI,Cyrtandra,tintinnabula,Laupahoehoe cyrtandra
NETU,Nectandra,turbacensis,Laurel amarillo
CIEL2,Cinnamomum,elongatum,Laurel avispillo
LANO,Laurus,nobilis,Laurel bay
OCPO,Ocotea,portoricensis,Laurel de paloma
OCFL,Ocotea,floribunda,Laurel espada
MASP,Magnolia,splendens,Laurel magnolia
QULA2,Quercus,laurifolia,Laurel oak
OCNE,Ocotea,nemodaphne,Laurel sassafras
MALA6,Malosma,laurina,Laurel sumac
TOLA2,Tournefortia,laurifolia,Laurel-leaf soldierbush
COLA,Cocculus,laurifolius,LaurelÅ]leafed snailseed
VITI2,Viburnum,tinus,Laurustinus
CLCA5,Clermontia,calophylla,Lava clermontia
CYCO7,Cyrtandra,confertiflora,Lava cyrtandra
DUCI,Dubautia,ciliolata,Lava dubautia
HICR,Hibiscadelphus,crucibracteatus,Lava hau kuahiwi
LOKA2,Lobelia,kauaensis,Lava lobelia
MERE3,Melicope,reflexa,Lava melicope
AMCA1,Amorpha,canescens,Lead plant
KRFE,Krugiodendron,ferreum,Leadwood
EXAP,Exocarpos,aphyllus,Leafless Ballart
LEAP,Leptomeria,aphylla,Leafless CurrantÅ]bush
EXLU,Exocarpos,luteolus,Leafy ballart
GEST9,Genista,stenopetala,Leafy broom
LECY80,Lespedeza,cyrtobotrya,Leafy lespedeza
VIRH,Viburnum,rhytidophyllum,Leather leaf viburnum
QUDU4,Quercus,durata,Leather oak
CYCO13,Cyanea,coriacea,Leatherleaf cyanea
SYRA,Symphysia,racemosa,Leatherleaf eelvine
MABE,Mahonia,bealei,Leatherleaf mahonia
PSWA2,Psychotria,wawrae,Leatherleaf wild coffee
EULU4,Eucryphia,lucida,Leatherwood
MYCO2,Myrsine,coriacea,Leathery colicwood
QULI,Quercus,libani,Lebanon Oak
CRDI8,Croton,discolor,Lechecillo
LEGU,Leea,guineense,Leea guineense
NEUM,Nestronia,umbellula,Leechbrush
CYUN5,Cyanea,undulata,Leechleaf cyanea
DEUN2,Delissea,undulata,Leechleaf delissea
METR5,Metrosideros,tremuloides,Lehua 'ahihi
MERU2,Metrosideros,rugosa,Lehua papa
NAOR,Nauclea,orientalis,Leichardt Pine
ACLE2,Acacia,leichhardtii,Leichhardt's Wattle
MEEL2,Melicope,elliptica,Leiohi'iaka
CRLE8,Crataegus,lemingtonensis,Lemington hawthorn
CELE3,Ceanothus,lemmonii,Lemmon's ceanothus
KELE,Keckiella,lemmonii,Lemmon's keckiella
CILI,Citrus,limon,Lemon
ALTR6,Aloysia,triphylla,Lemon beebrush
CAPA1,Callistemon,pallidus,Lemon bottlebrush
GAHE5,Garcinia,hessii,Lemon saptree
LEPE,Leptospermum,petersonii,Lemon teaÅ]tree
RHIN,Rhus,integrifolia,Lemonade berry
EUWO,Eucalyptus,woodwardii,LemonÅ]flowered Gum
COCI,Corymbia,citriodora,Lemonscented gum
BACI,Backhousia,citriodora,LemonÅ]scented Myrtle
PIEU1,Pittosporum,eugenoides,Lemonwood
HICA6,Hibiscus,calyphyllus,Lemonyellow rosemallow
CAFE,Caesalpinia,ferrea,Leopard tree(pauÅ]ferro)
FLMA,Flindersia,maculosa,LeopardÅ]wood
EUIN1,Eucalyptus,incrassata,Lerp Mallee
CAPH1,Callistemon,phoeniceus,Lesser Bottlebrush
CYLE3,Cyrtandra,lessoniana,Lesson's cyrtandra
CULE,Cupressocyparis,leylandii,Leyland cypress
GOPO,Gouania,polygama,Liane savon
COLI8,Coffea,liberica,Liberian coffee
LIKU,Licania,kunthiana,Licania kunthiana
LITO,Licania,tomentosa,Licania tomentosa
HEPE8,Helichrysum,petiolare,Licorice plant
SYCO,Syagrus,coronata,Licuri palm
ACIM,Acacia,implexa,Lightwood
GUOF,Guajacum,officinale,LignumÅ]vitae
LIJA,Ligustrum,japonicum,Ligustro
MEPA7,Melicope,paniculata,Lihue melicope
COLI7,Cordia,lima,Lija
PILI,Picea,likiangensis,Lijiang Spruce
EUSM,Syzygium,smithii,Lilly-pilly tree
MALI,Magnolia,liliiflora,Lily Magnolia
CLAR,Clethra,arborea,Lily of the Valley Tree
CYLI9,Cyrtandra,limahuliensis,Limahuli cyrtandra
PRLI2,Pritchardia,limahuliensis,Limahuli pritchardia
CYKU3,Cyanea,kuhihewa,Limahuli valley cyanea
PIFL,Pinus,flexilis,Limber pine
CIAU,Citrus,aurantifolia,Lime
ZAFA,Zanthoxylum,fagara,Lime prickly ash
TRTR7,Triphasia,trifolia,Limeberry
ACDI,Acer,distylum,LimeÅ]leaved Maple
SERA5,Senna,racemosa,Limestone senna
HYLA8,Hyperbaena,laurifolia,Limestone snakevine
ACSC1,Acacia,sclerosperma,Limestone Wattle
CAKR,Calyptranthes,krugii,Limoncillo
CASI8,Calyptranthes,sintenisii,Limoncillo de monte
CELI2,Celtis,lindheimeri,Lindheimer's hackberry
BULI,Buddleja,lindleyana,Lindley's butterflybush
CYLI6,Cyanea,lindseyana,Lindsey's cyanea
CYLI7,Cyanea,linearifolia,Linearleaf cyanea
CAIN5,Capparis,indica,Linguam
PELI,Persea,lingue,Lingue
ASSY,Asteromyrtus,symphyocarpa,Liniment Tree
LELE3,Leonotis,leonurus,Lion's ear
BIOR,Bixa,orellana,Lipsticktree
LI15,Lithraea,,Lithraea spp
LICA,Lithraea,caustica,Litre
EROV,Erythroxylum,ovalifolium,little coca
PTCO,Pterostyrax,corymbosa,Little Epaulette Tree
BUAR,Buchanania,arborescens,Little Gooseberry Tree
BRBI,Brachychiton,bidwillii,Little Kurrajong
ARED,Arctostaphylos,edmundsii,Little sur manzanita
JUMI,Juglans,microcarpa,Little walnut
CRSP,Crataegus,spathulata,Littlehip hawthorn
BUMI1,Buxus,microphylla,Littleleaf box
CEMI4,Ceanothus,microphyllus,Littleleaf buckbrush
CEPA4,Ceanothus,parvifolius,Littleleaf ceanothus
BRMI4,Brongniartia,minutifolia,Littleleaf greentwig
LERE5,Leucaena,retusa,Littleleaf leadtree
TICO,Tilia,cordata,Littleleaf linden
CEIN2,Cercocarpus,intricatus,Littleleaf mahogany
PHMI4,Philadelphus,microphyllus,Littleleaf mock orange
RHMI3,Rhus,microphylla,Littleleaf sumac
CYPA6,Cyrilla,parvifolia,Littleleaf titi
SAAR3,Salix,arbusculoides,Littletree willow
QUVI,Quercus/live,virginiana,Live oak
POAN1,Prumnopitys,andina,Lleuque
GAAT,Gaussia,attenuata,Llume
GOLA,Gordonia,lasianthus,Loblolly bay
PITA,Pinus,taeda,Loblolly pine
OCLE,Ocotea,leucoxylon,Loblolly sweetwood
PICO,Pinus,contorta,Lodgepole pine
MIPE2,Mimosa,pellita,Lollipop mimosa
DILO5,Diplacus,lompocensis,Lompoc mesa monkeyflower
PLAC,Platanus,hybrida,London planetree
CRUV,Crataegus,uvaldensis,Lonestar hawthorn
BYLU,Byrsonima,lucida,Long key locustberry
HALO,Hakea,lorea,Long Leaf Corkwood
ACCO4,Acacia,complanata,Long Pod Wattle
CRLO3,Crotalaria,longirostrata,Longbeak rattlebox
BALO3,Bambusa,longifolia,Longflower bamboo
COPO,Corymbia,polycarpa,LongÅ]fruited Bloodwood
NOLO,Nothocestrum,longifolium,Longleaf aiea
CYLO3,Cyrtandra,longifolia,Longleaf cyrtandra
ISLO2,Isodendrion,longifolium,Longleaf isodendrion
LOMY,Lomatia,myricoides,LongÅ]leaf Lomatia
SCLO2,Schinus,longifolius,Longleaf peppertree
PIPA,Pinus,palustris,Longleaf pine
POHE2,Podocarpus,henkelii,LongÅ]leafed yellowwood
EUNO,Eucalyptus,nortonii,LongÅ]leaved box
NOLO1,Notelaea,longifolia,LongÅ]leaved olive
SAOA2,Sapindus,oahuensis,Lonomea
HELI9,Heritiera,littoralis,LookingÅ]glass tree
ERJA,Eriobotrya,japonica,Loquat tree
ZIOB,Ziziphus,obtusifolia,Lotebush
PRLA4,Pritchardia,lanigera,Lo'ulu
PRHI,Pritchardia,hillebrandii,Lo'ulu lelo
COTR1,Cordia,trichotoma,louroÅ]daÅ]serra
AMHU2,Amelanchier,humilis,Low serviceberry
VAVA,Vaccinium,vacillians,Lowbush blueberry
RISE,Ribes,sericeum,Lucia gooseberry
QUHI1,Quercus,hispanica,Lucombe Oak
QULU1,Quercus,ludoviciana,Ludwig's Oak
LUSP11,Luehea,speciosa,Luehea
CALU12,Calyptranthes,luquillensis,Luquillo forest lidflower
PSCA5,Psidium,calyptranthoides,Luquillo mountain guava
ILHY,Ilex,hypaneura,Luquillo mountain holly
COWA3,Cordia,wagneriorum,Luquillo mountain manjack
EUHA4,Eugenia,haematocarpa,Luquillo mountain stopper
CORU17,Conostegia,rufescens,Luquillo mtn snailwood
LICH4,Litchi,chinensis,Lychee
CYLY,Cyrtandra,lydgatei,Lydgate's cyrtandra
LYFE,Lyonia,ferruginea,Lyonia tree
LYFL,Lyonothamnus,floribundus,Lyontree
ERLY,Erythrina,lysistemon,Lysistemon coral tree
NEME5,Neraudia,melastomifolia,Ma'aloa
DIBL3,Diospyros,blancoi,Mabolo
MAIN8,Macadamia,integrifolia,Macadamia nut
PTMA8,Ptychosperma,macarthurii,Macarthur palm
ROBR,Rosa,bracteata,Macartney rose
ACVO,Acacia,vogeliana,Macata bourse bastard
QUTR1,Quercus,trojana,Macedonian Oak
PIPE1,Pinus,peuce,Macedonian Pine
SAMA2,Salix,prolixa,Macenzie willow
HEMA11,Henriettea,macfadyenii,Macfadyen's camasey
MAAC2,Machaerium,aculeatum,Machaerium aculeatum
MAHI,Machaerium,hirtum,Machaerium hirtum
MAIN2,Machaerium,incorruptibile,Machaerium incorruptibile
MANY,Machaerium,nyctitans,Machaerium nyctitans
MAPO6,Machaonia,portoricensis,Machaonia portoricensis
ERBE3,Erythrina,berteriana,Machete
CUMA2,Cupressus,macnabiana,Macnab cypress
ILGU,Ilex,guianensis,Maconcona
HAMA,Hakea,macraeana,Macrae's Hakea
OLEM,Olea,emarginata,Madagascar olive
GEMA10,Genista,maderensis,Madeira dyer's greenweed
MOSP,Thespesia,grandiflora,Maga
MAOF,Magnolia,officinalis,Magnolia bark
MAOV,Magnolia,ovata,Magnolia ovata
HESO,Hernandia,sonora,Mago
BALO4,Bambusa,longispiculata,Mahal bamboo
PRMA1,Prunus,mahaleb,Mahaleb Cherry
HIEL,Hibiscus,elatus,Mahoe
CRRH,Crossopetalum,rhacoma,Maidenberry
ACMA1,Acacia,maidenii,Maiden's Wattle
RUAL8,Rubus,alter,Maine dewberry
RUAL8,Rubus,alter,Maine dewberry
ACMA5,Acacia,maitlandii,Maitland's Wattle
RARI,Ravenea,rivularis,Majesty palm
MEMA7,Melicope,makahae,Makaha valley melicope
PRHA2,Pritchardia,hardyi,Makaleha pritchardia
MEOB4,Melicope,obovata,Makawao melicope
ARSE,Aristotelia,serrata,Makomako
MEMA,Melastoma,malabathricum,Malabar melastome
SYJA,Syzygium,jambos,Malabar plum
FRMA6,Fraxinus,malacophylla,Malacophylla ash
DYMA,Dypsis,madagascariensis,Malagasy Palm
SYMA2,Syzygium,malaccense,Malaysian apple
POCU14,Polyscias,cumingiana,Malaysian aralia
DIMA24,Diospyros,maritima,Malaysian persimmon
LYLI,Lyonia,ligustrina,Maleberry
MEAC,Melaleuca,acuminata,Mallee Honey Myrtle
ACMO2,Acacia,montana,Mallee Wattle
ARMA31,Arctostaphylos,malloryi,Mallory's manzanita
PHMA5,Physocarpus,malvaceus,Mallow ninebark
MAAR,Malouetia,arborea,Malouetia arborea
MACE,Malouetia,cestroides,Malouetia cestroides
SOCH,Sophora,chrysophylla,Mamani
MOHE,Mouriri,helleri,Mameyuelo
MAAM2,Mammea,americana,Mammee apple
QUOX,Quercus,oxyodon,Man Qing Gang
WERE,Wedelia,reticulata,Manazanilla del monte
HIMA,Hippomane,mancinella,Manchineel
EUPE8,Euphorbia,petiolaris,Manchineel berry
PRTO,Prunus,tomentosa,Manchu cherry
ALHI,Alnus,hirsuta,Manchurian alder
FRMA,Fraxinus,mandshurica,Manchurian ash
MAMA37,Malus,mandshurica,Manchurian crabapple
ULLA,Ulmus,laciniata,Manchurian elm
ABHO,Abies,holophylla,"Manchurian fir"
LORU3,Lonicera,ruprechtiana,Manchurian honeysuckle
SYPA3,Syringa,patula,Manchurian lilac
PYUS1,Pyrus,usseriensis,Manchurian Pear
ROMA3,Rosa,manca,Mancos rose
SEMA,Senna,macranthera,Manduirana
MECI6,Melicope,cinerea,Manena
MAFO2,Manglietia,fortunei,Manglietia fortunei
MAIN,Mangifera,indica,Mango
GAMA10,Garcinia,mangostana,Mangosteen
RHMU,Rhizophora,mucronata,Mangrove
PSLO2,Psidium,longipes,Mangroveberry
MABA,Manilkara,bahamensis,Manilkara bahamensis
MASU,Manilkara,subsericea,Manilkara subsericea
ADME,Adonidia,merrilli,Manilla palm
POSA2,Podocarpus,saligna,Ma?io de hojas largas
ACMI2,Acacia,microbotrya,Manna Wattle
CYMA12,Cyanea,mannii,Mann's cyanea
HEHI8,Hedyotis,hillebrandii,Manono
CRIN16,Crataegus,indicens,Mansfield hawthorn
GEMU,Geranium,multiflorum,Manyflower geranium
CYPY,Cyanea,pycnocarpa,Manyfruit cyanea
FOPO3,Forchhammeria,polyandra,Manystamen forchhammeria
KRRA,Krameria,ramosissima,Manystem ratany
CYCY3,Cyrtandra,cyaneoides,Mapele
VIAC,Viburnum,acerifolium,Maple leaved arrowood
RIAC,Ribes,acerifolium,Mapleleaf currant
QUAC2,Quercus,acerifolia,Mapleleaf oak
MAAF,Maprounea,africana,Maprounea africana
CYPR9,Cyanea,profuga,Mapulehu valley cyanea
ARCH,Aristotelia,chilensis,Maqui
CAXY,Cassine,xylocarpa,Marbletree
MACR,Marcgravia,crassiflora,Marcgravia crassiflora
CRMA4,Crataegus,margarettiae,Margarett's hawthorn
MYMA4,Myrcia,margarettiae,Margarett's myrcia
CACA2,Calophyllum,antillanum,Maria
LIBR5,Licaria,brittoniana,Maria laurel
CALO2,Calophyllum,longifolium,Maria; santa maria
MIBI,Mimosa,bimucronata,Marica
BYCR,Byrsonima,crassifolia,Maricao cimun
CAPE17,Calyptranthes,peduncularis,Maricao lidflower
ZABI,Zanthoxylum,bifoliolatum,Maricao pricklyash
MYMA5,Myrcia,maricaensis,Maricao rodwood
CREX3,Crataegus,extraria,Marietta hawthorn
PIMA4,Piper,marginatum,Marigold pepper
PAIN2,Parthenium,incanum,Mariola
BAMO,Bauhinia,monandra,Mariposa
CEMA,Ceanothus,maritimus,Maritime ceanothus
PIPI6,Pinus,pinaster,Maritime pine
CYMA14,Cyanea,marksii,Marks' cyanea
ARES,Ardisia,escallonoides,Marlberry
MATO2,Marlierea,tomentosa,Marlierea tomentosa
STJA8,Streptosolen,jamesonii,Marmalade bush
COCA1,Corymbia,calophylla,Marri
BAPA,Banksia,paludosa,Marsh Banksia
IVFR,Iva,frutescens,Marsh elder
LEPA11,Ledum,palustre,Marsh labrador tea
SYMA,Symplocos,martinicensis,Martinique sweetleaf
CEMA2,Ceanothus,martinii,Martin's ceanothus
CAMA25,Calyptranthes,martorellii,Martorell's lidflower
TEBA,Tetragastris,balsamifera,Masa
GOEL,Goetzea,elegans,Mata buey
GOHI4,Gonzalagunia,hirsuta,Mata de mariposa
LALA5,Lasianthus,lanceolatus,Mata de peo
LIRI,Livistona,rigida,Mataranka Fan Palm
MAGU,Matayba,guianensis,Matayba guianensis
CACI19,Caesalpinia,ciliata,Mato
LYBA4,Lycium,barbarum,Matrimony vine
ACSP3,Achyranthes,splendens,Maui chaff flower
CLMI3,Clermontia,micrantha,Maui clermontia
CYCO11,Cyanea,comata,Maui cyanea
CYHA3,Cyrtandra,hashimotoi,Maui cyrtandra
DUDO,Dubautia,dolosa,Maui dubautia
GEHA,Geranium,hanaense,Maui geranium
PLAU5,Pleomele,auwahiensis,Maui hala pepe
HIWI,Hibiscadelphus,wilderianus,Maui hau kuahiwi
HEAR10,Hesperomannia,arbuscula,Maui islandÅ]aster
LAVE3,Labordia,venosa,Maui labordia
LOHI4,Lobelia,hillebrandii,Maui lobelia
COOC3,Coprosma,ochracea,Maui mirrorplant
PLSP3,Platydesma,spathulata,Maui pilo kea
PRAR2,Pritchardia,arecina,Maui pritchardia
REMA2,Remya,mauiensis,Maui remya
CHJA2,Chaenomeles,japonica,Maule's quince
DUAR,Dubautia,arborea,Mauna kea dubautia
BIME,Bidens,menziesii,Mauna loa beggarticks
CLMO5,Clermontia,montisÅ]loa,Mauna loa clermontia
CRAE,Crataegus,aestivalis,May hawthorn
MABO,Maytenus,boaria,Mayten
MAOB,Maytenus,obtusifolia,Maytenus obtusifolia
MARO,Maytenus,robusta,Maytenus robusta
MAPE3,Malvaviscus,penduliflorus,Mazapan
CYMC,Cyanea,mceldowneyi,Mceldowney's cyanea
EUMC,Eucalyptus,mckieana,McKie's Stringybark
PHME4,Philadelphus,mearnsii,Mearns' mock orange
GELI5,Genista,linifolia,Mediterranean broom
COVA4,Coronilla,valentina,Mediterranean crownvetch
CHHU,Chamaerops,humilis,Mediterranean fan palm
CRAZ,Crataegus,azarolus,Mediterranean Medlar
ROSE8,Rosa,serafinii,Mediterranean rose
ROSE8,Rosa,serafinii,Mediterranean rose
MEER1,Megaskepasma,erythrochlamys,Megaskepasma erythrochlam
FLNE,Flueggea,neowawraea,Mehamehame
MEST,Melaleuca,styphelioides,Melaleuca
MEDE,Melaleuca,decussata,Melaleuca lilac
CONE,Corymbia,nesophila,Melville Island Bloodwood
CAAU2,Canarium,australianum,Melville Island Wht Beech
ROWI,Rosa,wichuraiana,Memorial rose
ROWI,Rosa,wichuraiana,Memorial rose
CRME6,Crataegus,menandiana,Menand's hawthorn
LUEK,Lunania,ekmanii,Mendrina
EXME,Exocarpos,menziesii,Menzies' ballart
ISME5,Isocoma,menziesii,Menzies' goldenbush
MEGL3,Meriania,glabra,Meriania glabra
SOSE,Sophora,secundiflora,Mescalbean
RIME2,Ribes,mescalerium,Mescalero currant
PRJU3,Prosopis,juliflora,Mesquite
EUOB,Eucalyptus,obliqua,Messmate stringybark
MENI,Metrodorea,nigra,Metrodorea nigra
MEPR1,Metternichia,princeps,Metternichia princeps
ALAC,Alnus,acuminata,Mexican Alder
ALAM,Alvaradoa,amorphoides,Mexican alvaradoa
SAME,Salazaria,mexicana,Mexican bladdersage
QUOB,Quercus/live,oblongifolia,Mexican blue oak
BRAR,Brahea,armata,Mexican blue palm
UNSP,Ungnadia,speciosa,Mexican buckeye
CESA3,Cephalanthus,salicifolius,Mexican buttonbush
CRCI,Croton,ciliatoglandulifer,Mexican croton
PICA14,Pisonia,capitata,Mexican devil'sÅ]claws
FRME2,Fremontodendron,mexicanum,Mexican flannelbush
